calendarID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,startDate,endDate
503,0,0,0,0,0,0,0,20240121,20250211
504,0,0,0,0,0,0,1,20240121,20250211
406,1,1,1,1,1,0,0,20231105,20241105
405,0,0,0,0,0,1,0,20231105,20241105
494,1,1,1,1,1,0,0,20240114,20240224
493,1,1,1,1,1,0,0,20240114,20240224
492,0,0,0,0,0,1,0,20240114,20240224
329,1,1,1,1,1,0,0,20230723,20250115
328,1,1,1,1,1,0,0,20230723,20250115
327,1,1,1,1,1,0,0,20230723,20250115
326,0,0,0,0,0,1,0,20230723,20250115
531,1,1,1,1,1,0,0,20240212,20250211
441,0,0,0,0,1,0,0,20240102,20250211
89,1,1,1,1,1,0,0,20210609,20250211
87,0,0,0,0,0,1,0,20210609,20250211
88,1,1,1,1,1,0,0,20210609,20250211
512,1,1,1,1,1,0,0,20240204,20250211
511,0,0,0,0,0,1,0,20240204,20250211
211,0,0,0,0,0,1,0,20221031,20250211
212,1,1,1,1,1,0,0,20221031,20250211
213,1,1,1,1,1,0,0,20221031,20250211
414,1,1,1,1,1,0,0,20231106,20250211
413,0,0,0,0,0,1,0,20231106,20250211
78,1,1,1,1,1,0,0,20210315,20250211
76,0,0,0,0,0,1,0,20210315,20250211
468,1,1,1,1,1,0,0,20240107,20240302
467,0,0,0,0,0,1,0,20240107,20240302
509,0,0,0,0,0,0,0,20240204,20250211
510,0,0,0,0,0,0,1,20240204,20250211
112,1,1,1,1,1,0,0,20210913,20250211
111,0,0,0,0,0,1,0,20210913,20250211
113,1,1,1,1,1,0,0,20210913,20250211
244,1,1,1,1,1,0,0,20230101,20250211
242,0,0,0,0,0,1,0,20230101,20250211
175,1,1,1,1,1,0,0,20220501,20240416
174,0,0,0,0,0,1,0,20220501,20240416
400,0,0,0,0,0,0,1,20231105,20241104
404,1,1,1,1,1,0,0,20231105,20241104
401,0,0,0,0,0,1,0,20231105,20241104
402,1,1,1,1,1,0,0,20231105,20241104
173,0,0,0,0,0,0,1,20220501,20240416
220,1,1,1,1,1,0,0,20221102,20250211
219,1,1,1,1,1,0,0,20221102,20250211
218,0,0,0,0,0,1,0,20221102,20250211
90,0,0,0,0,0,1,0,20210614,20250211
91,1,1,1,1,1,0,0,20210614,20250211
92,1,1,1,1,1,0,0,20210614,20250211
166,1,1,1,1,1,0,0,20220401,20250211
164,0,0,0,0,0,1,0,20220401,20250211
167,1,1,1,1,1,0,0,20220401,20250211
11,1,1,1,1,1,0,0,20160221,20250211
10,0,0,0,0,0,1,0,20160221,20250211
331,1,1,1,1,1,0,0,20230723,20250211
332,1,1,1,1,1,0,0,20230723,20250211
330,0,0,0,0,0,1,0,20230723,20250211
280,1,1,1,1,1,0,0,20230403,20250211
279,0,0,0,0,0,1,0,20230403,20250211
371,1,1,1,1,1,0,0,20230925,20250211
370,0,0,0,0,0,1,0,20230925,20250211
185,0,0,0,0,0,1,0,20220723,20250211
186,1,1,1,1,1,0,0,20220723,20250211
187,1,1,1,1,1,0,0,20220723,20250211
288,0,0,0,0,0,1,0,20230503,20250211
289,1,1,1,1,1,0,0,20230503,20250211
290,1,1,1,1,1,0,0,20230503,20250211
295,1,1,1,1,1,0,0,20230528,20240527
294,0,0,0,0,0,1,0,20230528,20240527
323,0,0,0,0,0,0,1,20230723,20250101
325,1,1,1,1,1,0,0,20230723,20250101
324,0,0,0,0,0,1,0,20230723,20250101
339,1,1,1,1,1,0,0,20230901,20250211
340,1,1,1,1,1,0,0,20230901,20250211
107,1,1,1,1,1,0,0,20210904,20250211
106,0,0,0,0,0,1,0,20210904,20250211
105,1,1,1,1,1,0,0,20210830,20250211
104,0,0,0,0,0,1,0,20210830,20250211
561,0,0,0,0,0,0,0,20240304,20240331
562,0,0,0,0,0,0,1,20240304,20240331
